iter	TotalF1:average=Macro	MultiClass
533	0.9948860102	0.1628298813
534	0.9948860102	0.1621877002
535	0.9955793276	0.1617267675
536	0.9955793276	0.1612059307
537	0.9948860102	0.1609850835
538	0.9948860102	0.16074744
539	0.9948860102	0.1602758864
540	0.9955793276	0.1600008204
541	0.9948860102	0.1596282395
542	0.9955793276	0.1592939122
543	0.9955793276	0.1587474585
544	0.9955793276	0.1585829304
545	0.9948860102	0.1581371216
546	0.9955793276	0.1578219891
547	0.9948860102	0.1574114957
548	0.9948860102	0.1573021957
549	0.9948860102	0.1569401835
550	0.9948860102	0.156719396
551	0.9948860102	0.156360179
552	0.9948860102	0.156089515
553	0.9948860102	0.1557973004
554	0.9955768027	0.1554267521
555	0.9955768027	0.1549663286
556	0.9955768027	0.1546342026
557	0.9962681851	0.1544170666
558	0.9955768027	0.1542763646
559	0.9962681851	0.1538798105
560	0.9962681851	0.1535245576
561	0.9962681851	0.1530215369
562	0.9962681851	0.1525997248
563	0.9962681851	0.1523340863
564	0.9962681851	0.1521173267
565	0.9962681851	0.1515954846
566	0.9955768027	0.1512464656
567	0.9962681851	0.1509106457
568	0.9962681851	0.1506840941
569	0.9962681851	0.1502281236
570	0.9962681851	0.1498784186
571	0.9962681851	0.1494726788
572	0.9962681851	0.1492071683
573	0.9962681851	0.1490384704
574	0.9962681851	0.1488763915
575	0.9962681851	0.1487133713
576	0.9962681851	0.1484668414
577	0.9962681851	0.1481076708
578	0.9962681851	0.1478554894
579	0.9962681851	0.1476277724
580	0.9969615184	0.1471971374
581	0.9969615184	0.1467358868
582	0.9969615184	0.1463857072
583	0.9969615184	0.1461954441
584	0.9969615184	0.1460766764
585	0.9969615184	0.1456090783
586	0.9969615184	0.1452068119
587	0.9969615184	0.1448581963
588	0.9969615184	0.1446536836
589	0.9969615184	0.1444642201
590	0.9969615184	0.1442272039
591	0.9969615184	0.1440726946
592	0.9969615184	0.1437642808
593	0.9969615184	0.1432478963
594	0.9969615184	0.1429596266
595	0.9969615184	0.1428169187
596	0.9969615184	0.1425800899
597	0.9969615184	0.1421282861
598	0.9969615184	0.1417651213
599	0.9969615184	0.1415479737
600	0.9969615184	0.1412830228
601	0.9969615184	0.1411817615
602	0.9969615184	0.1410070821
603	0.9969615184	0.1406302104
604	0.9969615184	0.1403992809
605	0.9969615184	0.1401255939
606	0.9969615184	0.1399263458
607	0.9969615184	0.1398159453
608	0.9969615184	0.139557281
609	0.9969615184	0.1393060813
610	0.9976542476	0.1390383333
611	0.9976542476	0.1387204766
612	0.9976542476	0.1384278176
613	0.9976542476	0.1381487343
614	0.9976542476	0.1379828631
615	0.9976542476	0.1378842976
616	0.9976542476	0.1375101748
617	0.9976542476	0.1370517931
618	0.9976542476	0.1368040902
619	0.9976542476	0.136441364
620	0.9976542476	0.1363426898
621	0.9976542476	0.1359329168
622	0.9976542476	0.1356658764
623	0.9976542476	0.135403372
624	0.9976542476	0.1351239164
625	0.9976542476	0.134713883
626	0.9976542476	0.1345060396
627	0.9976542476	0.1341844802
628	0.9976542476	0.1338873329
629	0.9976542476	0.1337037481
630	0.9976542476	0.1333871688
631	0.9976542476	0.1330389357
632	0.9976542476	0.1328887319
633	0.9976542476	0.1326764612
634	0.9976542476	0.1322811466
